body,Asker,Answered,Answered by,,
"Suggestimate suggests that this is similar to JBTM-2225, which appears to be true, no?",,,,,
[~mmusgrov]: would this be enough to get rid of JNDI for us entirely then?,,,,,
"I can look into providing an implementation using this approach. Our docs do say ""This is not recommended, but provides a fallback for environments where use of JNDI is not feasible"" but I do not know why it's not recommended - I will find out. But given that we have ceylon.transaction fully working with the JNDI approach why do we need to jettison its use?",,,,,
So this was closed and then fixed?,,,,,
"Two questions: 1) is this being driven by any customer/community request? 2) presumably the javadocs generated will always depend upon the build you perform, e.g., JTS doesn't get covered if I'm only building core?",,,,,
"Here are the updated name server and transaction service images: https://github.com/Gytis/narayana-docker/tree/master/jts I've added extra configurations and a couple of unit tests. And here is the quickstart: https://github.com/Gytis/quickstart/tree/master-JBTM-2296/jts-docker All the code is the same. However, readme was extended to explain how use different types of object stores. Any ideas?",,,,,
"[~tomjenkinson], you had a go with it some time ago. Do you think it's usable enough to be merged into our dockerfiles repo?",,,,,
"[~marklittle], just wanted to confirm, if by ""Project Atomic docker image"" you meant Atomic App [1]? [1] http://www.projectatomic.io/docs/atomicapp/",,,,,
"It looks like we don't need it as we has removed the TAO dependency in JBTM-1665 and used the http rest methods to access the TM [~tomjenkinson], Does it make sense ?",,,,,
Agreed. Maybe create a separate JIRA for the tooling?,,,,,
"Yeah, I haven't upgraded the logging for the component. The only thing I can think is that maybe the default used to be WARN or something? From looking at the log statements there looks to be three statements, its the way the log messages are formatted that is causing each of the statements to bridge two lines. The logging format looks to be the format generated by JDK logging rather than log4j so I guess this is in an IDE? {code} 2014-12-18 16:30:49,755 [main] INFO (ats.arjuna :88 ) - ARJUNA012163: Starting service com.arjuna.ats.arjuna.recovery.ActionStatusService on port 51214 2014-12-18 16:30:49,765 [main] INFO (ats.arjuna :327 ) - ARJUNA012337: TransactionStatusManagerItem host: 127.0.0.1 port: 51214 2014-12-18 16:30:49,765 [main] INFO (ats.arjuna :138 ) - ARJUNA012170: TransactionStatusManager started on port 51214 and host 127.0.0.1 with service com.arjuna.ats.arjuna.recovery.ActionStatusService {code} I am happy for those statements to move down to debug but the reason they are info is the default option seems to be to choose a random port so it might be the case then that people would all enable debug just to get at that. I can see why with multiple processes on the same machine why electing a port dynamically has some advantages but I know that WFLY at least configure a default of 4713. (4712 for recovery port). Why don't we use those defaults and only then log the statement at INFO if the user changes the port to 0?",,,,,
Does that address the same use case though? If not then we should re-examine what we're doing.,,,,,
How is this different to the current class that allows thread-to-transaction association and disassociation?,,,,,
"Happy to go with either, I wonder if Container could be confused with JEE container though. Maybe Cloud? I had a quick look at other projects and Forge has Docker and LiveOak seemed to use Cloud. I am happy with Docker though even with the potential overloading.",,,,,
Would we need a variant of WFLY-1119 (Assign an unique NodeID automatically) to avoid conflicts (ie would different images share the same JDBC store). Also it is possible to point the tooling (ObjStoreBrowser) at a filesystem to manage the logs although it is unsupported (normally it is done via a JMX browser connected to the TM process). Do we need similar functionality for accessing the JDBC store directly?,,,,,
"Hi Toby, we can't change it to look for jbossts-properties.xml solely, the reason we can't remove the check for arjuna-properties.xml is due to backwards compatibility. The work in JBTM-482 was about changing the file name inside JBoss really which was completed. As such, I see this as an enhancement. Would allowing a system property to override the default name of the file work for you?",,,,,
We should try to get the best JDBC results we can so should try to use a database that is either on the same machine ideally. Does haverstraw host a postgres?,,,,,
"EDIT: The first link will need to be viewed using: https://drive.draw.io/?#G0B9c6Ahw-picmQklPZXp5M19nalk as the text does not seem to be visible on the Google Docs preview --------------------- Gytis has a draft, I have shared it publicly but its still very much in development: https://drive.google.com/file/d/0B9c6Ahw-picmQklPZXp5M19nalk/view?usp=sharing For comparison, this is the existing version: http://narayana.io/images/narayana-architecture-diagram.jpg I think we need to align the cosmetics with other JBoss.org projects. Are isometric boxes still the most graphically clear?",,,,,
I think a link to github is probably OK. Maybe do it by tag?,,,,,
Is it OK to raise this one now that 2377 is merged thanks?,,,,,
"Great, please can you let me know when the PR is merged so I can start the 5.1.1 release?",,,,,
"I am surprised you think its an anomaly. As an example, when you turn volatile store on our performance is something much more than a 15 fold improvement iirc? Some suggestions: 1. Are you using HQ store (can you use it in this config)? 2. Have you tried enabling the volatile store? In terms of notx vs emptytx I expect that is all down to the creation of the TX endpoints. You could profile the server to get more details there. I imagine your participants are no-ops so in the no tx case you have 2 no-op calls vs the empty tx case where you have 3 no-ops (I will class commit() here as a no-op as I assume it really is very little) and 1 op (the creation of the tx endpoints). Seems reasonable to me. In the emptytx case, can you drop the commit calls (without it falling over) to see the cost of the commit vs the create?",,,,,
Looks like a duplicate of JBTM-2216 to me. https://github.com/jbosstm/narayana/blame/master/ArjunaJTA/jta/classes/com/arjuna/ats/internal/jta/recovery/arjunacore/XARecoveryModule.java Its fixed in WFLY master version (was fixed in Narayana 5.0.4 which should be in WFLY since 9.Beta1).,,,,,
"[~tomjenkinson], do we have analytics id etc.?",,,,,
"I see the test passing now - thanks for the quick update :) re the LockException misconception I had, I now understand why throwing an exception is wrong here, though I wonder if it is worth trace logging something to help clarify if a TX is rolling back due to OCC conflict?",,,,,
"Thanks Tom, Which component would that be. Tom",,,,,
"Yesterday I pushed the fix that does not upgrade arquillian so we are good to go on our CI builds. Do you think the jira still warrants the blocker status? Mike -- Michael Musgrove Red Hat UK Ltd, Transactions Team e: mmusgrov@redhat.com t: +44 191 243 0870 Registered in England and Wales under Company Registration No. 03798903 Directors: Michael Cunningham (US), Charles Peters (US), Matt Parson (US), Michael O'Neill(Ireland)",,,,,
I am not sure how easy this will be but is it possible to leave it as a system property where we can enable it? e.g. -DenableDebugger,,,,,
Is there anything in Narayana that requires Java8 though? If not then why not still allow that at build time?,,,,,
"That's WildFly and I do understand why they're moving to 8. However, if someone wants to build a component project using 7 then why wouldn't we allow that within that project until/unless we add features only available in 8?",,,,,
Do you know why these only seemed to start failing when we upgraded to JDK8?,,,,,
"Hi Mike, Am I right in thinking that this should be fixed, but we still have JBTM-2454? If so it is worth closing this one. Thanks, Tom",,,,,
"I asked [~adinn] to provide an opinion about whether it could be the annotation rather than the agent loading functionality that is the root cause of the problem and he suspects that it is most likely a bug in the dynamic agent loading behaviour in the J9 compiler. He also gave a good analysis of the issue which I am including here: {quote} I downloaded IBM's Java 7 SDK and tried to use it to build Byteman. That's enough to thoroughly test the use of the agent. The tests on the Byteman agent maven module are configured to install the agent from the command line using the -javaagent option (I do that rather than use the BMUnitRunner to auto-load because I don't want failures in BMUnit to stop the agent jar being built). These tests all worked ok. So, the IBM JDK does support all the functionality of the Byteman agent when you load it from the command line. The maven tests in the BMUnit maven module rely the BMUnitRunner annotation to auto-install the agent into an already running test JVM and this is what failed. The error output is attached. As you can see from the first exception trace the IBM JVM does implement dynamic loading -- the Attach operation is fielded and J9 tries to install the agent by executing com.ibm.tools.attach.javaSE.Attachment.loadAgentLibrary If you look at the cause of the exception you can see that this eventually calls into org.jboss.byteman.agent.Main.premain which is the Byteman entry point. This tries to register its ClassFileTransformer (InstrumentationImpl.addTransformer) and at this point J9 blows up. It is objecting to the agent's request for the ClassFileTransformer to be installed as a 'retransformable' transformer. That means it wants to be able to handle retransformations of existing classes as well as being given a chance to modify newly loaded classes. This seems a tad odd because when the Byteman agent is loaded on the command line it also asks its ClassFileTransformer to be installed as a retransformable transformer. So, the refusal by J9 must be some sort of policy decision on its part. I suspect that this may be a performance hack -- J9 may be willing to not perform certain optimizations in order to allow for retransformers if you install them from the get go but otherwise may decide to switch on optimizations that mean subsequent use of retransformers won't work. Whatever the reason IBM have done this you are snookered until you can get them to remove this restriction. n.b. it is a legitimate (i.e. JVMTI agent spec-compliant) behaviour but it's not exactly very useful. I will make eqnuiries to see if I can talk to someone in IBM and get this removed or, at least, find a way to relax it but I am not sure I will have any traction. I think there is only one workaround which will fix this if you want to use BMUnit on both OpenJDK/Oracle and IBM. You will need to switch to loading the agent from the command line (whatever JVM you are using). To do this you need to: i) install the agent on the command line of the test JVM by configuring java command line argument -javaagent:/path/to/byteman.jar=listener:true ii) stop BMUnit from loading the agent by adding adding the property setting -Dorg.jboss.byteman.contrib.bmunit.agent.inhibit n.b. you will need to build the path to the byteman jar by referencing the relevant dependency in your maven repo dir. you should be able to do that using by substituting maven property values (repo dir + byteman dependency version) into the path n.b. if you don't do the load yourself then you may want to set some other -javaagent options and/or Byteman system properties. The auto load will do the equivalent of adding boot:/path/to/byteman.jar to the -javaagent line and adding -Dorg.jboss.byteman.allow.config.update as a system property setting. The former allows you to inject into JDK runtime classes. The latter allows BMUnit to pay heed to your any options specified using a BMUnitConfig annotation on your test class. regards, Andrew Dinn {quote}",,,,,
Is this done?,,,,,
What was the resolution?,,,,,
Can this be closed?,,,,,
It was added as a warn during rollback. I can certainly make it a debug option but the request came in from [~stephen.fikes] at the Narayana F2F that it would be useful in timeout situations. If we go for debug only then it will lose some of its power because the user would need to recreate the timeout which might be difficult. I could add an option on https://github.com/jbosstm/narayana/blob/master/ArjunaCore/arjuna/classes/com/arjuna/ats/arjuna/common/CoordinatorEnvironmentBean.java so they user can choose to disable the enhancement (or maybe allow them to select a log level for the message)?,,,,,
"a ""Tricks"" section to the README.md if the SVG file gets too big. Brendan is working on a Python version of FlameGraph https://github.com/brendangregg/FlameGraph/tree/master/dev which has search support: Search -> com/arjuna -> Purple nodes",,,,,
"Hi [~gytis], this has been Coding in Progress for a while. Is it worth marking ""Work Stopped"" as I don't think you are currently coding on this one?",,,,,
Are we not planning to make the release completely automatic and incorporating it into our CI?,,,,,
"Hi Hayk, Would you have chance to work on this at all? You have marked it as a blocker so trying to work out the priority as you didn't mark a fix version. Thanks, Tom",,,,,
"The failures related to the upgrading to the activemq artimes in WFLY 10. Also in the Step 5, you should run with standalone-blacktie.xml {code} copy docs/examples/configs/standalone-blacktie.xml wildfly-<version>/standalone/configurations bin/standalone.sh -c standalone-blacktie.xml {code} I'm sorry that I can not find in the QS to say use WFLY 9 but I will update the README.md to say it should integrate with the master from WFLY. can you show me where you find the information to run with WFLY 9 ?",,,,,
"Thanks Amos - what is missing to make it work with WildFly 10, please?",,,,,
What about JTAX BaseTransaction.java?,,,,,
"Hmm, that will be the JTS version, eh? Ok, I'll patch that too.",,,,,
"Daniel, would you please clarify the scope of the quanitfiers 'some' and 'all' in your issue description? i.e. in which documents have you noticed the format problem? which other documents do you suspect are affected?",,,,,
"Hi Andrew, As I'm planning on going through the docs anyway, I'd be happy to take this JIRA and update the doc if you like? /Daniel",,,,,
"I meant https://github.com/jbosstm/performance/tree/master/comparison, but I'm not sure it's going to work. Is it possible to use JMH to test Arquillian tests? Or applications in WildFly deployed manually?",,,,,
Did you put back a commit for the unit tests for now?,,,,,
Any more details on this?,,,,,
"I did some debug with the CrashRecovery2 Run with the following command {code} ./build.sh -f ArjunaJTA/jta/pom.xml clean test -Dtest=CrashRecovery2 -Dorg.jboss.byteman.debug -Dorg.jboss.byteman.verbose -PcodeCoverage {code} check the output of the test and it looks like the rule does not be triggered as it can not find the local binding var ""$this"" The fail2pc rule is {code} RULE Fail 2PC CLASS com.arjuna.ats.arjuna.coordinator.BasicAction METHOD phase2Commit AT ENTRY BIND NOTHING IF readCounter(""phase2commit"") == 0 DO debug(""Called""), incrementCounter(""phase2commit""); com.arjuna.ats.arjuna.coordinator.ActionManager.manager().remove($this.get_uid()); RETURN ENDRULE {code} The failure is {code} start:4 triggerPos:0 end:535 (I add this debug message in agent/src/main/java/org/jboss/byteman/agent/adapter/RuleCheckMethodAdapter.java) RuleCheckMethodAdapter.checkBindings : invalid local variable binding $this checking method phase2Commit(Z)V {code} if we run without the jacoco, the start and end is {code} start:0 triggerPos:0 end:327 {code} [~adinn] how do you think about this ?",,,,,
"Hi Amos, thanks for reporting this. I don't know why you are seeing that error. It's very odd because $this is the only local variable reference that we can identify when there is no local variable table. Could you try changing the rule to use $0 instead of $this and see if that makes it work.",,,,,
"Thanks Adinn, I met this error when running the codeCoverage with the jacoco. The $0 works. So it looks like the issue is related to the script but not the jacoco ?",,,,,
"Doh! I see Amos is way ahead of me here (nice work, Amos :-) The trace statement Amos inserted shows that the local variable checking code has found an entry in the local var table for $this but one that starts at bytecode offset 4 and ends at offset 535. The injection code is trying to inject the rule at offset 0 i.e. at entry to the code. This is after transformation by Jacoco. With no transformation the local var this is found starting at offset 0. I have not yet looked at the Jacoco code but it seems pretty obvious what is happening. When Jacoco inserts profiling instructions into the method it updates the start and end offsets for entries in the local variable table to take account of the new code. One of those profiling instruction sequences will be injected at the start of the method and Jacoco appears to be shifting the local var start offset for this so that it comes into scope after the profiling code rather than at bytecode 0. No doubt it is also shifting the start position for method parameter entries. This is at best unhelpful; actually, I think it is an error because this and the parameters are /always/ in scope from the start of the method even if code is inserted before the start. I thought that ASM fixed this as a special case. Which version of Jacoco is being used here? The latest Jacoco version uses ASM 5 which shoudl deal with this problem. Have you tried updating to a later Jacoco? If that doesn't work I'll take this up with the Jacoco developers.",,,,,
Thanks for the detailed explanation Andrew - it certainly sounds a complex issue. Do you know of any other coverage frameworks that Byteman might interoperate with today? If not we can just disable the byteman tests under coverage testing. If you do get a Jacoco issue reference please can you let us know so we can reference it here? Thanks again!,,,,,
So do I need to add those to all the quickstart poms?,,,,,
Because if so we need to do it in a profile at a guess. Unless those arguments work on an IPv6 box. Do we know which quickstarts need those? [~hhovsepy] - can you raise a PR if you have the fix on your box so we can check it works on our CI cluster too please?,,,,,
"Hi [~hhovsepy] - I thought Mike said you had tested a fix locally? If so, please can you commit it and PR it and I can amend it as necessary? Alternatively just paste in the surefire config you tested as a comment and I will try it here.",,,,,
http://albany.eng.hst.ams2.redhat.com/job/narayana-quickstarts-ipv6/ ?? I didn't even think we had dualstack machines in ams2? If so we should move the dualstack job onto ams2 cluster instead of ncl one.,,,,,
Did you need any fixes to Narayana to make it work on IPv6 because I think [~hhovsepy] is reporting they don't work for him? I think the reason they would work on IPv6+IPv4 is arq will be fine to run with its IPv4 args. I therefore don't think we can mark it as resolved because the QS are running on IPv6 with IPv4 too so that is difference to the summary+description of this issue.,,,,,
"As I understood, this task was created to add new maven profile into several quickstarts to pass IPv6 parameters (mentioned in earlier comments), right? Is it already done?",,,,,
"Yes, using 5.2.9.Final produces an example that works ... 15:43:35,988 INFO [org.jboss.weld.deployer] (MSC service thread 1-1) WFLYWELD0006: Starting Services for CDI deployment: ROOT.war 15:43:36,055 INFO [org.jboss.weld.Version] (MSC service thread 1-1) WELD-000900: 2.2.16 (SP1) 15:43:36,303 INFO [org.jboss.weld.deployer] (MSC service thread 1-3) WFLYWELD0009: Starting weld service for deployment ROOT.war 15:43:38,196 INFO [stdout] (ServerService Thread Pool -- 58) StartupBean call 15:43:38,217 INFO [stdout] (ServerService Thread Pool -- 58) MyEJB call 15:43:38,217 WARN [com.arjuna.ats.arjuna] (ServerService Thread Pool -- 58) ARJUNA012094: Commit of action id 0:ffffc0a80121:-26a9308d:567c12a6:b invoked while multiple threads active within it. 15:43:38,218 WARN [com.arjuna.ats.arjuna] (ServerService Thread Pool -- 58) ARJUNA012107: CheckedAction::check - atomic action 0:ffffc0a80121:-26a9308d:567c12a6:b commiting with 1 threads active! 15:43:38,602 INFO [javax.enterprise.resource.webcontainer.jsf.config] (ServerService Thread Pool -- 58) Initializing Mojarra 2.2.12-jbossorg-2 20150729-1131 for context '' 15:43:40,112 INFO [org.wildfly.extension.undertow] (ServerService Thread Pool -- 58) WFLYUT0021: Registered web context: / 15:43:40,151 INFO [org.jboss.as.server] (ServerService Thread Pool -- 34) WFLYSRV0010: Deployed ""ROOT.war"" (runtime-name : ""ROOT.war"") 15:43:40,264 INFO [org.jboss.as] (Controller Boot Thread) WFLYSRV0060: Http management interface listening on http://127.0.0.1:9990/management 15:43:40,266 INFO [org.jboss.as] (Controller Boot Thread) WFLYSRV0051: Admin console listening on http://127.0.0.1:9990 15:43:40,266 INFO [org.jboss.as] (Controller Boot Thread) WFLYSRV0025: WildFly Full 9.0.2.Final (WildFly Core 1.0.2.Final) started in 14595ms - Started 330 of 510 services (221 services are lazy, passive or on-demand) I won't raise a pull request because maybe there's a reason it shouldn't be 5.2.9.Final. Whoever takes this issue should provide the right fix, i.e., don't wait for me :)",,,,,
"OK, so rather than remove this and revert back to what we had for 20+ years, I've made it a trace. There may have been a reason why it was needed, e.g., debugging? Would be good for someone to link any related issues here for the future.",,,,,
[~stalep] I have no problem with doing a release with this in but I think Narayana will use the one in WFLY anyway so you could just upgrade the version of the journal in there?,,,,,
"Maybe WFLY pulls our version of Artemis transitively or something? Anyway, will merge when the PR passes - should be an hour or two.",,,,,
"[~lbarreiro] - understood. Will do the release as the PR passed. It will be tomorrow AM (UK) though. I don't think characterising this as a bug (in Narayana) is correct so changing the issue type. Also, please can you add a description? Probably just replicate your comment https://issues.jboss.org/browse/JBTM-2599?focusedCommentId=13145088&page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel#comment-13145088",,,,,
Is this done?,,,,,
Can we get a link to your branch here please?,,,,,
Can you ask for feedback on the forum now it seems complete.,,,,,
Is this resolved as part of the CLI work possibly? e.g. can the AS7 CLI be deployed externally?,,,,,
"Hi Mike, This issue was marked as ""Resolved, Done"" but there is no ""Fix Version"" specified. Please can you update the Jira with the version of the software where you fixed this? Also, can you then close the issue (assuming its not an in development version). Thanks, Tom",,,,,
"Ok, I have managed to modify XTS to run over JBossWS/CXF 3.1.0 but a few caveats apply I had to patch two bugs in CXF so we cannot go ahead with moving to CXF untiil JBossWS assimilates fixes for CXF-2161 and CXF-2167. I had to break XTS working on JBossWS/Native because of several incompatibilities. The most notable difference is that the AddressingProperties class and related classes reside in different packages but there are a couple of others: i) the RelatesTo field in CXF has only one entry whereas in JBoss it is an array of entries ii) when a JaxWS port is created from a W3CEndpoint JBossWS configures its request messaqe properties with a MAP containing any WSA header values derived from the endpoint. this requires the XTS code to merge any extra headers into the existing MAP. CXF stashes the endpoint WSA header values in the port and so XTS has to create a MAP containing the extra headers and hang this off the request message properties. iii) CXF does not support JAX-RPC so the JaxRPC client handlers could not be compiled (the requisite headers are missing from the CXF libraries). This means the old version of the demo has to be dropped on CXF. Ignoring the JAX-RPC issue, it ought to be possible to hide these differences behind a wrapper class which managed the underlying MAP types and handled the task of configuring a JaxWS port. However, this would mean that the build process would have to be modified to build either a JBossWS/Native compatible version or a JBoss/CXF compatible version i.e. the XTS code would for all intents and purposes become dual binary (this is why we really need a fix in JBossWS).",,,,,
"Hi Alexis, I think you might be in the wrong place, this is the transaction manager component not the JMS component? Maybe you could talk to the Artemis team? Unless I misunderstood but in which case I recommend a discussion here first: https://developer.jboss.org/en/jbosstm/content?filterID=contentstatus%5bpublished%5d~objecttype~objecttype%5bthread%5d",,,,,
"Good work Amos, I wonder if we can upgrade the SPI org.jboss.spec.javax.resource:jboss-connector-api_1.5_spec:jar:1.0.0.Final dependency to a later one that includes JTA 1.2?",,,,,
Where is the link to the PR?,,,,,
"Hi [~tomjenkinson], I was wondering on your comment https://issues.jboss.org/browse/JBTM-2733?focusedCommentId=13284121#comment-13284121 and now I found some time to go through the XA spec for it. I wasn't able to find reason behind why the recover sequence should be {{xa_recover(START), xa_commit/rb, xa_recover(END)}} and can't be e.g. like {{xa_recover(START|END), xa_commit/rb}}. Would you be so kind and elaborate a bit on this? Or can you point me to spec/article where I got information how this is expected to be used? It's quite possible that I just haven't read/searched properly. I'm just curious. Thanks in advance.",,,,,
"I have added the new JMS recovery provider to the ats integration module (the attached zipped tar file contains the tests I used to validate the fix). To enable the feature add the following property to the jta section of the jbossjta-properties.xml file: <property name=""com.arjuna.ats.jta.recovery.XAResourceRecovery.JBMESSAGING1"" value=""com.arjuna.ats.internal.jbossatx.jta.JMSProviderXAResourceRecovery;java:/DefaultJMSProvider""/> The recovery code requires a minor fix to the JBossMQ implementation (I've raised JIRA JBAS-5502 to track this). The attachment contains the config files I used to enable recovery. If you use a JBossMQ PersistenceManager with an Hsql Db then make you disable the write_delay property to ensure that data is immediately flushed out to disk. I used a MySQL Db (the relevant SQL is in the file mysql-jdbc2-service.xml (if you use this make sure you remove the default config ie hsqldb-jdbc2-service.xml). The recovery code does not work with non-durable topic subscriptions (I will raise a JIRA against JBoss Messaging to get it tested on the latest JMS implementation).",,,,,
"Do you mean simply saving them as .odt files? I tried to check one in but got the following error : svn: CHECKOUT of '/!svn/ver/15549/labs/jbosstm/trunk/ArjunaCore/docs/install_guide': 403 Forbidden (https://svn.labs.jboss.com) Am I using the wrong path or don't I have the correct permissions to commit perhaps. Thanks, Daniel",,,,,
"Hi [~tomjenkinson], during the check ups JBEAP issues I got to this issue and when applying the same test as I have for JBTM-2636 I found out that there is a branch in code where deffered exception is not added - that's when heuristic happens. Is it intentional? This kind of update fixes the issue that I refer to: https://github.com/ochaloup/narayana/commit/cb2ab4252a6c2e1106751d28103daefea42e86f6",,,,,
Sorry Ondra - I don't quite follow. Which branch does not have this commit in?,,,,,
"Ah yes, that sounds useful. Perhaps you can add a unit test to ExceptionDeferrerTests and we can look to merge it? This is the type of test to add: https://github.com/jbosstm/narayana/pull/1116/files I think you should raise a new issue though because it will be confusing to track the change against the resolved one.",,,,,
What does the error look like with your patch? What is the effect of the NPE?,,,,,
"This class was added to demonstrate how to support new log record types in the tooling. The bug is that it was included in the default list of types. What is your plan to fix this, are you going to remove it from the default list?",,,,,
"[~mmusgrov] ok, that could be my wrong in understanding the issue here. Without the header reader I got troubles to get working ExpiredAssumedCompleteScanner. But I could take it from a wrong end. In that case, this change would be superfluous and the fix should go in opposite way - removing from the default list and leaving header reader in the test package. Can you please elaborate a bit on what is the correct way of fixing it? Thanks in advance!",,,,,
I may have misunderstood something. I thought this was required to fix a JBEAP issue? Straight up reverting isn't right because the ObjStoreBrowser (in main) shouldn't depend on a test class. But we could make it so its not in the default list. [~mmusgrov] what do you think?,,,,,
"Thank you for backporting. I put 4.2.3.SP5_CP07-brew jars into EAP 4.3.0 CP06 (SOA-P 4.3.0 CP02) and tested AtomicActionExpiryScanner. Then I found that expired tx-logs were copied to ""Expired"" directory but the original files were not removed. > find data/tx-object-store ... data/tx-object-store/HashedActionStore/defaultStore/StateManager/BasicAction/TwoPhaseCoordinator/AtomicAction/#197#/7f000001_9020_4b025a1e_2f9 data/tx-object-store/HashedActionStore/defaultStore/StateManager/BasicAction/TwoPhaseCoordinator/AtomicAction/Expired/#197#/7f000001_9020_4b025a1e_2f9 ... It's hitting JBTM-418. Could you take care of JBTM-418 for 4.2.3 branches too?",,,,,
"Would this work as a general design pattern if you wanted to implement a HA recovery coordinator? 1. Use the JDBC object store. 2. Configure a recovery coordinaor (RC) on each node to recover all (*) nodes. You can only *start* one of these RC at any one time 3. Develop some ""watchdog"" process runs on every node and monitors the current RC process and if it fails, uses a group protocol to elects one of the other RC's to start 4. Rather than starting the RC on one of the nodes, start the watchdog processes and allow them to enable one of the RC's Would this work for JTS?",,,,,
"Yes, we definitely don't want to duplicate code from elsewhere. How about getting the ManagedConnectionFactory instance from JNDI, since that's what creates the WrapperDataSource in the first place?",,,,,
Or the ConnectionFactory?,,,,,
"Can you take any queries and discussion to the forums, where it's easier to track? Thanks.",,,,,
"See http://jira.jboss.com/jira/browse/JBTM-20?page=all for the backstory on this. We already downgrade this stuff from INFO to DEBUG when running integrated with the AS. The arjuna level won't be changed, so the options are to change the global rewriting of arjuna messages in AS from INFO->DEBUG to INFO->TRACE which will impact other messages too, or install a filter in log4j. Why is AS even logging at DEBUG by default? It should be INFO, at least for production releases.",,,,,
"Just a clarification: this is not about deprecating what NORMAL does, just changing the name from NORMAL to PERIODIC. Correct?",,,,,
"What happens if a module goes away between first and second passes, or during a recovery pass? Do we need blocking unregister calls for modules so that does not happen?",,,,,
"Can you please explain why the value of this timeout needs to be configured with a larger value and how this value relates to your transaction's 'size'? Also, by 'size' are you referring to the number of participants or the amount of work done by each participant? The transport timeout is only ever employed when dispatch of a WS-C/T protocol message must wait on receipt of a corresponding protocol message. For example, the WS-AT Coordinator engine responds to a prepare request by sending a PREPARE message to the participant and then waiting for a PREPARING message to be returned in response. Processing of the incoming message and dispatching the corresponding response will normally happen very quickly as it only involves a small amount of work on the part of the transaction system. The other variables in the equation are the communication transport delays and, in some cases, a certain amount of processing time added by the participant implementations (in the example above the participant's prepare method will be invoked). The participant may conceivably be delaying the response for more than 30 seconds. If so then this is likely to be due to an error in the participant.",,,,,
"I'm still not convinced that configuring this timeout is the correct thing to do. Can you explain i) which database you are using and ii) what your code is doing in the prepare call? I am assuming that this problem arises because entities created in your subordinate TX only get flushed at prepare time due to the delegation involved in bridging. The persistence manager install a Syncrhonization to flush cached SQL updates to the database. This normally runs before the 2PC is entered but with bridging the flush cannot be performed (i.e. the Synchronization cannot be executed) until the delegated prepare arrives which stalls the parent TX. One possibility might be for you to manually flush changes inside your EJB code as you make them. This should leave little or no work to do at prepare time because the DB updates will already be out on disk. Can you try this? Another option might be to do break the create operations into lots of little transactions. Do you have to do this update all in one go? Anyway leaving these questions aside for the moment, if you want to reset the timeout you can easily do so by invoking TransportTimer.setTransportTimeout(long) from your application code.",,,,,
When resolved the server manager jar should be included in the JBossTM build (and the server wrapper removed),,,,,
Can you give a use case for this? I'm not seeing any real advantage over just doing e.g. -Dcom.arjuna.ats.arjuna.xa.nodeIdentifier=foo ?,,,,,
"Jonathan, How to end-up with a ""smooth"" integration within the AS? I understand that the TM has its own configuration file when working inside some other runtime, but when runing inside the AS, can't he use the JBoss config files (like jboss-services.xml file) or similar? If not, can we at least implement the same feature set as JBoss AS has, including the property replacer that Roland was suggesting to add? Thanks for your feedback. Cheers, sacha",,,,,
"Hi Sacha Please clearly define what you are trying to achieve. So far nobody has given me a convincing, specific real world use case for this feature. As far as I can tell the existing ability to override values from the config file by specifying system properties is equivalent to value substitution, except for cases where you may want to use the same value for multiple parameters. The only such case I can think of is the IP address, for which we have a separate solution anyhow. With the exceptions of the port bindings (which will be done via SBM), recovery (which will be done via the new tx integration API) and multiple 1PC (which is an horrifically bad idea anyhow), users should not need to change values in the tx properties file. I believe this feature will benefit only a small proportion of users. I agree it's better to have consistent behaviour for the properties files, it makes for a better user experience. But that's secondary to having a product that works. Because of these factors, I consider this issue a low priority. It will get done as and when we have time, but not until e.g. crash recovery and JTS integration are finished. That's why it's still not scheduled against any particular release. Perhaps I'm missing something though. If you feel it's worth taking time out from managing the division to comment on the issue, you must feel it's important. Can you say why?",,,,,
Which svn tag are your src changes based on?,,,,,
Adjusted the ant script run-qa.xml (which schedules JBTS tests in batch under the Distributed Testing Framework) to omit all tests involving the database FirstSQL.,,,,,
"Most JTS test now run locally. Some issues still exist: no JTA test coverage, no JDBC test coverage, excessive memory usage by ant/junit, excessive buffering of output (may be related to memory usage), occasional unexplained hanging of tests on husdon only (ORB shutdown blocking?). These are relatively low priority. Pushing to next release.",,,,,
"Added getters and setter for addresses / ports to the jta and jts service mbean interfaces and implementations. Revised assorted jta/jts/core internals to remove knowledge of AS from things that don't need it - the TransactionManagerService puts the values from ServiceBindingManager (or SERVER_BIND_ADDRESS as a fallback) in to the arjuna config objects, so app server integration is transparent to the rest of the JBossTS codebase. Revised XTS AS integration to read same service bindings the AS webserver uses, making it more POJO and less JMX style integration. Whilst checking port bindings, discoved and fixed inconsistencies in various places where 4711 was stated as recovery manager port, rather than the correct 4712. Used 4713 for transaction status manager and 4714 for socketProcessId in the app server. Note that when running standalone these still use random ports - do we want to hardcode these defaults in the standalone version also?",,,,,
"Done: JBTM-1472. Can you add some more detail to the description? As it stands, my understanding of this issue is that it's a duplicate of JBTM-1472.",,,,,
